Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ABRUÑEDO,Ibone,BCN,1,8,11.22,12,10,0,4,0,43.2,67,85,70,52,34,9,11,4,188,0.356,17,5,4,3,7,48,38
ALCAZAR GARCÍA,Carmen,ANT,0,0,42.00,1,0,0,0,0,0.1,3,2,2,0,0,0,1,0,4,0.750,0,0,0,0,0,0,1
ALCONCHEL FERNÁNDEZ,Cristina,MIR,0,0,21.00,2,0,0,0,0,0.2,3,6,2,5,0,2,0,0,5,0.600,2,0,0,2,0,1,1
ALONSO,Beatriz,SBO,12,4,1.71,20,15,2,6,5,65.1,41,23,16,23,111,8,5,2,234,0.175,8,0,0,2,5,41,39
AMAR RAMÓN,Susana,MIR,2,4,12.29,10,6,0,3,0,31.1,74,74,55,25,12,12,2,2,168,0.440,21,9,0,7,1,31,49
ARANES MENDEZ,Olivia,IRA,6,9,8.00,19,13,1,7,1,72.2,125,108,83,55,58,25,14,3,331,0.378,26,4,0,6,5,69,73
BARANDIARÁN GARCÍA,Ane,RIV,7,0,0.22,10,6,0,5,4,31.2,13,4,1,8,25,3,2,0,109,0.119,3,1,0,0,0,42,23
BARRIOS KOKEFF,Sara,FEN,4,5,9.51,13,11,0,1,0,31.2,49,54,43,36,16,12,6,2,142,0.345,20,5,0,3,2,35,42
BRIZ VILLEGAS,Claudia,ANT,1,0,13.50,4,0,0,0,0,4.2,8,11,9,11,4,0,1,1,20,0.400,2,2,0,1,0,3,4
CABRERA,Rebeca,DRI,12,4,4.31,22,12,1,6,0,86.0,90,79,53,66,79,10,6,3,352,0.256,27,5,0,5,10,74,100
CAICOYA RODRIGUEZ,Carmen,RIV,6,0,1.22,8,6,0,5,4,23.0,18,6,4,6,33,0,0,0,84,0.214,2,0,0,0,4,24,11
CERDA BERMEJO,Ariadna,SBO,0,0,2.63,2,0,0,0,0,5.1,4,2,2,1,4,0,1,1,20,0.200,0,0,0,0,0,2,10
CHERECHES,Beatriz,DRI,8,3,4.36,15,10,0,6,1,61.0,52,42,38,39,65,12,0,3,224,0.232,6,1,0,2,8,32,75
CIAURRIZ AGUILAR,Isabel,IRA,0,0,33.83,7,0,0,0,0,6.0,29,35,29,12,2,6,3,2,48,0.604,6,5,0,1,0,6,8
CONTIN HERNÁNDEZ,Irene,IRA,0,1,15.40,5,1,0,0,0,10.0,22,27,22,7,3,2,2,2,52,0.423,2,3,0,0,1,11,13
CONTRERAS ATENZA,María,FEN,0,0,10.50,1,0,0,0,0,0.2,2,1,1,2,0,0,0,0,4,0.500,1,0,0,0,0,1,1
DE LA PAZ PINTO,Verónica,ANT,10,5,5.23,22,9,0,4,1,79.0,100,87,59,63,71,9,7,1,340,0.294,27,4,0,1,9,89,72
DEL PINO ROJAS,Emma,VIL,0,1,24.00,2,1,0,0,0,2.1,3,8,8,8,1,1,1,0,10,0.300,6,0,0,0,0,3,3
DENIA MORENO,Yulán,FEN,3,3,5.84,12,3,0,2,0,44.1,59,50,37,32,22,12,9,0,189,0.312,7,2,1,4,3,51,52
DÍAZ DORTA,Sofía,MIR,0,0,4.85,2,0,0,0,0,4.1,3,3,3,5,0,0,0,0,15,0.200,2,0,0,0,0,3,9
ESPIN PORCAR,Ivette,ANT,1,2,5.88,10,6,0,1,0,33.1,38,38,28,14,13,11,2,2,131,0.290,9,7,0,1,4,46,27
ETXEBERRÍA,Igone,OBB,11,6,2.40,21,16,0,4,2,90.1,83,57,31,46,123,14,7,1,359,0.231,10,2,0,1,6,79,60
FARO,Aroa,OBB,0,0,16.80,2,0,0,0,0,1.2,3,5,4,1,0,1,0,0,8,0.375,0,0,0,0,0,1,4
FERNÁNDEZ DOMÍNGUEZ,María De Lourdes,CAP,1,9,13.53,17,12,0,1,0,45.0,89,128,87,54,16,14,9,5,225,0.396,28,17,0,3,8,65,50
FERNÁNDEZ,Raquel,SBO,9,4,4.90,21,15,1,5,4,65.2,63,55,46,55,66,11,2,1,254,0.248,14,7,0,0,5,94,33
GARATEA MARIN,Sandra,IRA,0,3,18.71,10,3,0,1,0,18.1,56,57,49,17,6,16,5,2,111,0.505,6,2,1,2,1,24,24
GARCÍA TENDERO,Julia,VIL,0,2,16.39,8,2,0,0,0,13.2,28,37,32,26,4,4,3,0,71,0.394,15,2,0,2,2,16,22
GONG,Zibei,ANT,0,1,7.00,1,1,0,0,0,3.0,4,3,3,2,3,0,0,0,13,0.308,0,0,0,0,0,2,3
GONZÁLEZ GARCÍA,Merlys,RIV,10,0,0.57,12,10,0,6,5,49.1,26,11,4,12,79,1,0,0,171,0.152,6,3,0,1,1,49,17
GONZÁLEZ PELLO,Eva,FEN,0,2,20.07,10,3,0,1,0,15.0,29,56,43,37,3,5,4,1,71,0.408,15,10,1,0,0,12,20
GORBE LAHUERTA,Angela,MIR,0,1,42.00,2,1,0,0,0,1.0,6,6,6,2,0,1,0,1,8,0.750,1,0,0,0,0,0,2
HERNÁDEZ SANTOS,Elizabeth Patricia,FEN,0,1,84.00,1,1,0,0,0,0.1,3,7,4,2,0,1,0,0,6,0.500,1,0,0,0,0,1,0
HERRERA,Alba,DRI,0,4,8.59,12,2,1,0,0,22.0,36,41,27,28,10,5,0,1,104,0.346,4,6,0,1,2,16,38
IBÁÑEZ,Raquel,OBB,7,3,4.31,13,10,0,3,1,52.0,63,46,32,14,39,12,2,3,223,0.283,6,1,0,2,5,64,49
IZQUIERDO,Andrea,SBO,5,1,2.83,14,5,1,2,1,42.0,39,29,17,13,62,10,3,1,166,0.235,3,0,0,1,4,32,29
LARRAZA,Amaia,OBB,1,3,4.64,18,4,1,0,0,28.2,36,28,19,14,32,3,1,2,120,0.300,8,1,0,1,5,24,26
LOIDI,Sara,OBB,0,1,15.75,4,1,0,0,0,5.1,9,13,12,6,1,3,0,0,25,0.360,6,1,0,1,0,9,6
