Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
AGUILAR COLLADO,Jeffrey,ELL,21,54,46,6,2,0.963,1,23,1,95.8,5,0
ALBERTELLI,Federico,LDC,9,6,5,1,0,1.000,1,0,0,,0,0
ALMONTE,Edwin,EXA,15,73,71,1,1,0.986,4,3,0,100.0,1,0
ANDERSON,Bobby,LDC,9,17,11,5,1,0.941,1,0,1,0.0,0,0
APOSTOAEI,Andrei,SHB,20,38,27,9,2,0.947,4,1,0,100.0,0,0
APOSTOL,Jesus,EXA,11,9,5,3,1,0.889,1,0,0,,0,0
ARMSTRONG,Luke,SHB,13,11,6,3,2,0.818,0,5,2,71.4,0,0
AVILA,Elbis,SHB,23,14,9,4,1,0.929,0,3,0,100.0,0,0
AYBAR,Emanuel,ELL,3,4,4,0,0,1.000,0,0,0,,0,0
BAEZ AYBAR,Nguyen,ELL,17,29,9,12,8,0.724,2,1,0,100.0,0,0
BANAGALE,Michael,LDM,17,14,14,0,0,1.000,0,0,0,,0,0
BARRETT,Joshua Ralph,LDM,14,7,7,0,0,1.000,0,0,0,,0,0
BARRETT,Michael,HTF,6,11,5,6,0,1.000,3,0,0,,0,0
BARTELL,Chris,LDM,1,6,6,0,0,1.000,0,0,0,,0,0
BATHO,Charlie,SHB,4,10,7,0,3,0.700,1,0,0,,0,0
BAXTER,Dylan,LDM,10,4,4,0,0,1.000,0,0,0,,0,0
BEDARD,David,LDC,17,24,8,13,3,0.875,3,2,0,100.0,0,0
CALZADO,Aneury,ELL,19,30,28,1,1,0.967,0,0,0,,0,0
CEDEÑO,Leo,LDC,12,54,50,2,2,0.963,2,9,1,90.0,0,0
CHANDLER,Rory,LDM,24,28,27,0,1,0.964,0,0,0,,0,0
CHIRA,Angel,EXA,15,55,52,2,1,0.982,0,11,1,91.7,5,0
CLARK,Phil,HTF,12,56,47,5,4,0.929,1,32,2,94.1,9,0
CLAYTON,Will,HTF,21,18,3,10,5,0.722,0,3,1,75.0,0,0
COOK,Derrick,LDM,1,8,8,0,0,1.000,0,2,0,100.0,0,0
COTE,Tyler,HTF,2,7,5,2,0,1.000,0,1,1,50.0,0,0
CRESSWELL,Mike,HTF,13,14,13,0,1,0.929,1,0,0,,0,0
